;Order date;Order type;Workflow status;Business Partner;Container;Front Office Domicile Country;Money Account (-) (leg 1);Money Account (+) (leg 1);Money Account (-) (leg 2);Money Account (+) (leg 2);Bank buys (leg 1);Bank buys (leg 2);Bank sells leg 1;Bank sells leg 2;Asset leg 1;Asset leg 2;Trade date;Value date leg 1;Value date leg 2
158159495;01.02.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 7500000;CHF 8557623.75;CHF 8557698.75;EUR 7500000;FX Swap Near Leg - EUR/CHF, 31.01.19 (1236785);FX Swap Far Leg - EUR/CHF, 01.02.19 (1236786);31.01.2019;31.01.2019;01.02.2019
158153497;31.01.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 5000000;CHF 5693965;CHF 5694026.5;EUR 5000000;FX Swap Near Leg - EUR/CHF, 30.01.19 (1233833);FX Swap Far Leg - EUR/CHF, 31.01.19 (1233834);30.01.2019;30.01.2019;31.01.2019
158149001;30.01.2019;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 305000000;EUR 2443538.24;EUR 2443910.26;JPY 305000000;FX Swap Near Leg - JPY/EUR, 31.01.19 (1232824);FX Swap Far Leg - JPY/EUR, 22.02.19 (1232825);29.01.2019;31.01.2019;22.02.2019
158148953;30.01.2019;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 305000000;EUR 2443763.4;EUR 2443910.26;JPY 305000000;FX Swap Near Leg - JPY/EUR, 31.01.19 (1232820);FX Swap Far Leg - JPY/EUR, 08.02.19 (1232821);29.01.2019;31.01.2019;08.02.2019
158148535;30.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;USD 300000;EUR 262746.72;EUR 262767.43;USD 300000;FX Swap Near Leg - USD/EUR, 29.01.19 (1232803);FX Swap Far Leg - USD/EUR, 30.01.19 (1232804);29.01.2019;29.01.2019;30.01.2019
158147533;30.01.2019;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 1320914.74;CHF 1500000;CHF 1500000;EUR 1320931.26;FX Swap Near Leg - CHF/EUR, 29.01.19 (1231785);FX Swap Far Leg - CHF/EUR, 30.01.19 (1231786);29.01.2019;29.01.2019;30.01.2019
158141306;29.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;USD 2000000;EUR 1751430.04;EUR 1752016.13;USD 2000000;FX Swap Near Leg - USD/EUR, 28.01.19 (1228835);FX Swap Far Leg - USD/EUR, 01.02.19 (1228836);28.01.2019;28.01.2019;01.02.2019
158142196;29.01.2019;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 4531868;EUR 4000000;EUR 4000000;CHF 4531837.2;FX Swap Near Leg - EUR/CHF, 28.01.19 (1228864);FX Swap Far Leg - EUR/CHF, 29.01.19 (1228865);28.01.2019;28.01.2019;29.01.2019
158117733;25.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;USD 2835455;EUR 2500000;EUR 2500000;USD 2835687.5;FX Swap Near Leg - EUR/USD, 24.01.19 (1226797);FX Swap Far Leg - EUR/USD, 25.01.19 (1226798);24.01.2019;24.01.2019;25.01.2019
158117696;25.01.2019;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 2834240;EUR 2500000;EUR 2500000;USD 2834950;FX Swap Near Leg - EUR/USD, 25.01.19 (1226794);FX Swap Far Leg - EUR/USD, 28.01.19 (1226795);24.01.2019;25.01.2019;28.01.2019
158091085;19.01.2019;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 9000000;CHF 8935776;CHF 8947497.6;USD 9000000;FX Swap Near Leg - USD/CHF, 18.01.19 (1219857);FX Swap Far Leg - USD/CHF, 01.02.19 (1219858);18.01.2019;18.01.2019;01.02.2019
158090787;19.01.2019;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153.MM MACC.SETTLE.OUT.CAD recon_settle;0001153.MM MACC.SETTLE.IN.CAD recon_settle;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 6033555.62;CAD 8000000;CAD 8000000;USD 6035490.19;FX Swap Near Leg - CAD/USD, 18.01.19 (1219845);FX Swap Far Leg - CAD/USD, 01.02.19 (1219846);18.01.2019;18.01.2019;01.02.2019
158090693;19.01.2019;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.GBP recon_settle;0000593.MM MACC.SETTLE.IN.GBP recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 17471565;GBP 13500000;GBP 13500000;USD 17483931;FX Swap Near Leg - GBP/USD, 18.01.19 (1219805);FX Swap Far Leg - GBP/USD, 01.02.19 (1219806);18.01.2019;18.01.2019;01.02.2019
158079727;17.01.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 4000000;EUR 3549688.63;EUR 3549653.35;CHF 4000000;FX Swap Near Leg - CHF/EUR, 16.01.19 (1216874);FX Swap Far Leg - CHF/EUR, 17.01.19 (1216875);16.01.2019;16.01.2019;17.01.2019
158078878;17.01.2019;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 905000000;EUR 7300006.05;EUR 7301331.18;JPY 905000000;FX Swap Near Leg - JPY/EUR, 18.01.19 (1216817);FX Swap Far Leg - JPY/EUR, 15.02.19 (1216818);16.01.2019;18.01.2019;15.02.2019
158078849;17.01.2019;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 905000000;EUR 7300624.38;EUR 7301331.18;JPY 905000000;FX Swap Near Leg - JPY/EUR, 18.01.19 (1216813);FX Swap Far Leg - JPY/EUR, 31.01.19 (1216815);16.01.2019;18.01.2019;31.01.2019
158064960;15.01.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 872868.46;USD 1000000;USD 1000000;EUR 872722.2;FX Swap Near Leg - USD/EUR, 14.01.19 (1211841);FX Swap Far Leg - USD/EUR, 16.01.19 (1211842);14.01.2019;14.01.2019;16.01.2019
156467421;12.01.2019;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 500000;CHF 491000;CHF 491140;USD 500000;FX Swap Near Leg - USD/CHF, 11.01.19 (1208834);FX Swap Far Leg - USD/CHF, 14.01.19 (1208835);11.01.2019;11.01.2019;14.01.2019
156466181;12.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 3178162.49;CHF 3600000;CHF 3600000;EUR 3178277.53;FX Swap Near Leg - CHF/EUR, 15.01.19 (1208798);FX Swap Far Leg - CHF/EUR, 18.01.19 (1208799);11.01.2019;15.01.2019;18.01.2019
156466125;12.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 882966.34;CHF 1000000;CHF 1000000;EUR 883010;FX Swap Near Leg - CHF/EUR, 14.01.19 (1208795);FX Swap Far Leg - CHF/EUR, 18.01.19 (1208796);11.01.2019;14.01.2019;18.01.2019
156455229;10.01.2019;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153A0002 83-55.030.233 Nostro Account GBP;0001153.MM MACC.SETTLE.OUT.CAD recon_settle;0001153.MM MACC.SETTLE.IN.CAD recon_settle;0001153A0002 83-55.030.233 Nostro Account GBP;GBP 700000;CAD 1179878;CAD 1179668;GBP 700000;FX Swap Near Leg - GBP/CAD, 09.01.19 (1204789);FX Swap Far Leg - GBP/CAD, 18.01.19 (1204790);09.01.2019;09.01.2019;18.01.2019
156455208;10.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255A0001 Nostro Account USD;USD 500000;CHF 489979;CHF 490392.5;USD 500000;FX Swap Near Leg - USD/CHF, 09.01.19 (1204786);FX Swap Far Leg - USD/CHF, 18.01.19 (1204787);09.01.2019;09.01.2019;18.01.2019
156450429;10.01.2019;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.GBP recon_settle;0000593.MM MACC.SETTLE.IN.GBP recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 2000112;GBP 1600000;GBP 1600000;CHF 1997232;FX Swap Near Leg - GBP/CHF, 09.01.19 (1201902);FX Swap Far Leg - GBP/CHF, 11.02.19 (1201903);08.01.2019;09.01.2019;11.02.2019
156433908;05.01.2019;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;0000255A0001 Nostro Account USD;USD 5000000;CAD 6725620;CAD 6728350;USD 5000000;FX Swap Near Leg - USD/CAD, 04.01.19 (1195807);FX Swap Far Leg - USD/CAD, 18.01.19 (1195808);04.01.2019;04.01.2019;18.01.2019
156433832;05.01.2019;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 5698467;EUR 5000000;EUR 5000000;USD 5705162.5;FX Swap Near Leg - EUR/USD, 04.01.19 (1195804);FX Swap Far Leg - EUR/USD, 18.01.19 (1195805);04.01.2019;04.01.2019;18.01.2019
156400813;29.12.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.GBP recon_settle;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255.MM MACC.SETTLE.OUT.GBP recon_settle;GBP 800000;CHF 994099.2;CHF 994392;GBP 800000;FX Swap Near Leg - GBP/CHF, 31.12.18 (1187808);FX Swap Far Leg - GBP/CHF, 04.01.19 (1187809);28.12.2018;31.12.2018;04.01.2019
156400593;29.12.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;000025502978 BE87480945108794 Nostro Account EUR;EUR 5129704.58;CAD 8000000;CAD 8000000;EUR 5129313.19;FX Swap Near Leg - CAD/EUR, 28.12.18 (1187790);FX Swap Far Leg - CAD/EUR, 04.01.19 (1187791);28.12.2018;28.12.2018;04.01.2019
156393569;28.12.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;USD 3500000;EUR 3065440.14;EUR 3071506.42;USD 3500000;FX Swap Near Leg - USD/EUR, 27.12.18 (1185786);FX Swap Far Leg - USD/EUR, 18.01.19 (1185787);27.12.2018;27.12.2018;18.01.2019
156369539;22.12.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 7000000;CHF 7917770;CHF 7918243.9;EUR 7000000;FX Swap Near Leg - EUR/CHF, 21.12.18 (1181799);FX Swap Far Leg - EUR/CHF, 27.12.18 (1181800);21.12.2018;21.12.2018;27.12.2018
137137751;20.12.2018;FX swap;Discarded;CORNER BANCA S.A. LUGANO;0000937.3002 AUX Interim money trading (23);;0000937.MM MACC.SETTLE.IN.EUR recon_settle;0000937.MM MACC.SETTLE.OUT.USD recon_settle;0000937.MM MACC.SETTLE.IN.USD recon_settle;0000937.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10000000;USD 11849001.3;USD 11815000;EUR 10000000;FX Trade - EUR/USD;FX Trade - EUR/USD;06.12.2017;08.12.2017;08.01.2018
156347645;20.12.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 737310;CAD 1000000;CAD 1000000;CHF 736988;FX Swap Near Leg - CAD/CHF, 21.12.18 (1179839);FX Swap Far Leg - CAD/CHF, 28.12.18 (1179840);19.12.2018;21.12.2018;28.12.2018
156346173;20.12.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 1820000000;EUR 14207650.27;EUR 14203326.08;JPY 1820000000;FX Swap Near Leg - JPY/EUR, 21.12.18 (1179797);FX Swap Far Leg - JPY/EUR, 18.01.19 (1179798);19.12.2018;21.12.2018;18.01.2019
156346043;20.12.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153A0002 83-55.030.233 Nostro Account GBP;0001153A0002 83-55.030.233 Nostro Account GBP;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 18105230;GBP 14300000;GBP 14300000;USD 18135975;FX Swap Near Leg - GBP/USD, 21.12.18 (1179794);FX Swap Far Leg - GBP/USD, 18.01.19 (1179795);19.12.2018;21.12.2018;18.01.2019
154667467;01.12.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.EUR recon_settle;0001153.MM MACC.SETTLE.OUT.CHF recon_settle;0001153.MM MACC.SETTLE.IN.CHF recon_settle;0001153.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 4409501.59;CHF 5000000;CHF 5000000;EUR 4410396.19;FX Swap Near Leg - CHF/EUR, 03.12.18 (1148791);FX Swap Far Leg - CHF/EUR, 21.12.18 (1148792);30.11.2018;03.12.2018;21.12.2018
154661195;30.11.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153.MM MACC.SETTLE.OUT.CAD recon_settle;0001153.MM MACC.SETTLE.IN.CAD recon_settle;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 3500000;CAD 4638791.5;CAD 4640650;USD 3500000;FX Swap Near Leg - USD/CAD, 30.11.18 (1146792);FX Swap Far Leg - USD/CAD, 21.12.18 (1146793);29.11.2018;30.11.2018;21.12.2018
154656214;29.11.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 1850000000;EUR 14417082.29;EUR 14419329.7;JPY 1850000000;FX Swap Near Leg - JPY/EUR, 30.11.18 (1145797);FX Swap Far Leg - JPY/EUR, 21.12.18 (1145798);28.11.2018;30.11.2018;21.12.2018
154657360;29.11.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.GBP recon_settle;0000123.MM MACC.SETTLE.IN.GBP recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 1023384;GBP 800000;GBP 800000;USD 1024304.8;FX Swap Near Leg - GBP/USD, 30.11.18 (1145822);FX Swap Far Leg - GBP/USD, 21.12.18 (1145823);28.11.2018;30.11.2018;21.12.2018
154657245;29.11.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.GBP recon_settle;0000123.MM MACC.SETTLE.IN.GBP recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 16000000;GBP 12519003.46;GBP 12530248.8;USD 16000000;FX Swap Near Leg - USD/GBP, 30.11.18 (1145818);FX Swap Far Leg - USD/GBP, 21.12.18 (1145819);28.11.2018;30.11.2018;21.12.2018
154612663;21.11.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;0000255A0001 Nostro Account USD;USD 800000;CAD 1054600;CAD 1054768;USD 800000;FX Swap Near Leg - USD/CAD, 21.11.18 (1124793);FX Swap Far Leg - USD/CAD, 30.11.18 (1124794);20.11.2018;21.11.2018;30.11.2018
