;Order date;Order type;Workflow status;Business Partner;Container;Front Office Domicile Country;Money Account (-) (leg 1);Money Account (+) (leg 1);Money Account (-) (leg 2);Money Account (+) (leg 2);Bank buys (leg 1);Bank buys (leg 2);Bank sells leg 1;Bank sells leg 2;Asset leg 1;Asset leg 2;Trade date;Value date leg 1;Value date leg 2
154656214;29.11.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 1850000000;EUR 14417082.29;EUR 14419329.7;JPY 1850000000;FX Swap Near Leg - JPY/EUR, 30.11.18 (1145797);FX Swap Far Leg - JPY/EUR, 21.12.18 (1145798);28.11.2018;30.11.2018;21.12.2018
154657360;29.11.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.GBP recon_settle;0000123.MM MACC.SETTLE.IN.GBP recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 1023384;GBP 800000;GBP 800000;USD 1024304.8;FX Swap Near Leg - GBP/USD, 30.11.18 (1145822);FX Swap Far Leg - GBP/USD, 21.12.18 (1145823);28.11.2018;30.11.2018;21.12.2018
154657245;29.11.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.GBP recon_settle;0000123.MM MACC.SETTLE.IN.GBP recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 16000000;GBP 12519003.46;GBP 12530248.8;USD 16000000;FX Swap Near Leg - USD/GBP, 30.11.18 (1145818);FX Swap Far Leg - USD/GBP, 21.12.18 (1145819);28.11.2018;30.11.2018;21.12.2018
154612663;21.11.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;0000255A0001 Nostro Account USD;USD 800000;CAD 1054600;CAD 1054768;USD 800000;FX Swap Near Leg - USD/CAD, 21.11.18 (1124793);FX Swap Far Leg - USD/CAD, 30.11.18 (1124794);20.11.2018;21.11.2018;30.11.2018
154607706;20.11.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 6148981.03;CHF 7000000;CHF 7000000;EUR 6149926.42;FX Swap Near Leg - CHF/EUR, 19.11.18 (1122857);FX Swap Far Leg - CHF/EUR, 30.11.18 (1122858);19.11.2018;19.11.2018;30.11.2018
154607697;20.11.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 1500000;CHF 1495185;CHF 1495448.4;USD 1500000;FX Swap Near Leg - USD/CHF, 19.11.18 (1122854);FX Swap Far Leg - USD/CHF, 21.11.18 (1122855);19.11.2018;19.11.2018;21.11.2018
154589621;16.11.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 200000000;EUR 1558761.41;EUR 1558846.45;JPY 200000000;FX Swap Near Leg - JPY/EUR, 19.11.18 (1118785);FX Swap Far Leg - JPY/EUR, 30.11.18 (1118786);15.11.2018;19.11.2018;30.11.2018
154588257;16.11.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 2000000;EUR 1761517.02;EUR 1763379.2;USD 2000000;FX Swap Near Leg - USD/EUR, 16.11.18 (1117792);FX Swap Far Leg - USD/EUR, 30.11.18 (1117793);15.11.2018;16.11.2018;30.11.2018
154588072;16.11.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153A0002 83-55.030.233 Nostro Account GBP;0001153A0002 83-55.030.233 Nostro Account GBP;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 17528913;GBP 13500000;GBP 13500000;USD 17539389;FX Swap Near Leg - GBP/USD, 16.11.18 (1117788);FX Swap Far Leg - GBP/USD, 30.11.18 (1117789);15.11.2018;16.11.2018;30.11.2018
154573077;13.11.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 1500000;CHF 1509768;CHF 1513725;USD 1500000;FX Swap Near Leg - USD/CHF, 14.11.18 (1110809);FX Swap Far Leg - USD/CHF, 14.12.18 (1110810);12.11.2018;14.11.2018;14.12.2018
154536004;06.11.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.EUR recon_settle;0001153.MM MACC.SETTLE.OUT.CHF recon_settle;0001153.MM MACC.SETTLE.IN.CHF recon_settle;0001153.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 5000000;CHF 5716320;CHF 5716970;EUR 5000000;FX Swap Near Leg - EUR/CHF, 06.11.18 (1094796);FX Swap Far Leg - EUR/CHF, 16.11.18 (1094797);05.11.2018;06.11.2018;16.11.2018
152913594;01.11.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 5000000;CHF 5699020;CHF 5700120;EUR 5000000;FX Swap Near Leg - EUR/CHF, 31.10.18 (1088792);FX Swap Far Leg - EUR/CHF, 16.11.18 (1088793);31.10.2018;31.10.2018;16.11.2018
152907563;31.10.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 2000000;CAD 2620172;CAD 2620900;USD 2000000;FX Swap Near Leg - USD/CAD, 31.10.18 (1087788);FX Swap Far Leg - USD/CAD, 16.11.18 (1087789);30.10.2018;31.10.2018;16.11.2018
152907515;31.10.2018;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.GBP recon_settle;8000132.MM MACC.SETTLE.IN.GBP recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 16860360;GBP 13200000;GBP 13200000;USD 16872372;FX Swap Near Leg - GBP/USD, 31.10.18 (1087785);FX Swap Far Leg - GBP/USD, 16.11.18 (1087786);30.10.2018;31.10.2018;16.11.2018
152909368;31.10.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;000025502978 BE87480945108794 Nostro Account EUR;EUR 3685949.1;CAD 5500000;CAD 5500000;EUR 3682437.32;FX Swap Near Leg - CAD/EUR, 31.10.18 (1087840);FX Swap Far Leg - CAD/EUR, 16.11.18 (1087841);30.10.2018;31.10.2018;16.11.2018
152903512;30.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 1610000000;EUR 12585450.13;EUR 12587959.34;JPY 1610000000;FX Swap Near Leg - JPY/EUR, 31.10.18 (1084798);FX Swap Far Leg - JPY/EUR, 30.11.18 (1084799);29.10.2018;31.10.2018;30.11.2018
152903471;30.10.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;EUR 1500000;USD 1708110;USD 1707856.5;EUR 1500000;FX Swap Near Leg - EUR/USD, 29.10.18 (1084795);FX Swap Far Leg - EUR/USD, 31.10.18 (1084796);29.10.2018;29.10.2018;31.10.2018
152888779;27.10.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 6000000;CHF 6827448;CHF 6827598;EUR 6000000;FX Swap Near Leg - EUR/CHF, 29.10.18 (1080821);FX Swap Far Leg - EUR/CHF, 31.10.18 (1080822);26.10.2018;29.10.2018;31.10.2018
152870545;25.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 110000000;EUR 856924.73;EUR 856964.79;JPY 110000000;FX Swap Near Leg - JPY/EUR, 26.10.18 (1075820);FX Swap Far Leg - JPY/EUR, 31.10.18 (1075821);24.10.2018;26.10.2018;31.10.2018
152870152;25.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 105000000;EUR 817400.51;EUR 817438.69;JPY 105000000;FX Swap Near Leg - JPY/EUR, 26.10.18 (1075808);FX Swap Far Leg - JPY/EUR, 31.10.18 (1075809);24.10.2018;26.10.2018;31.10.2018
152864991;24.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 350000000;EUR 2722559.52;EUR 2722676;JPY 350000000;FX Swap Near Leg - JPY/EUR, 25.10.18 (1072814);FX Swap Far Leg - JPY/EUR, 31.10.18 (1072815);23.10.2018;25.10.2018;31.10.2018
152857440;23.10.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 10000000;EUR 8726209.08;EUR 8725523.82;CHF 10000000;FX Swap Near Leg - CHF/EUR, 22.10.18 (1068812);FX Swap Far Leg - CHF/EUR, 31.10.18 (1068813);22.10.2018;22.10.2018;31.10.2018
152844906;19.10.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10000000;CHF 11451770;CHF 11453300;EUR 10000000;FX Swap Near Leg - EUR/CHF, 19.10.18 (1062832);FX Swap Far Leg - EUR/CHF, 31.10.18 (1062833);18.10.2018;19.10.2018;31.10.2018
152844511;19.10.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255A0002 Nostro Account CAD;0000255A0002 Nostro Account CAD;000025502978 BE87480945108794 Nostro Account EUR;EUR 2666049.92;CAD 4000000;CAD 4000000;EUR 2664274.15;FX Swap Near Leg - CAD/EUR, 19.10.18 (1062827);FX Swap Far Leg - CAD/EUR, 31.10.18 (1062828);18.10.2018;19.10.2018;31.10.2018
152844472;19.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;EUR 2009001.87;JPY 260000000;JPY 260000000;EUR 2008885.45;FX Swap Near Leg - JPY/EUR, 19.10.18 (1062824);FX Swap Far Leg - JPY/EUR, 31.10.18 (1062825);18.10.2018;19.10.2018;31.10.2018
152844434;19.10.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.CAD recon_settle;0000123.MM MACC.SETTLE.IN.CAD recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 3000000;CAD 3913902;CAD 3914850;USD 3000000;FX Swap Near Leg - USD/CAD, 19.10.18 (1062820);FX Swap Far Leg - USD/CAD, 31.10.18 (1062821);18.10.2018;19.10.2018;31.10.2018
152844367;19.10.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153A0002 83-55.030.233 Nostro Account GBP;0001153A0002 83-55.030.233 Nostro Account GBP;0001153.MM MACC.SETTLE.OUT.USD recon_settle;USD 17042064;GBP 13000000;GBP 13000000;USD 17051099;FX Swap Near Leg - GBP/USD, 19.10.18 (1062817);FX Swap Far Leg - GBP/USD, 31.10.18 (1062818);18.10.2018;19.10.2018;31.10.2018
152798116;10.10.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 3000000;CHF 3420825;CHF 3421231.8;EUR 3000000;FX Swap Near Leg - EUR/CHF, 09.10.18 (1046789);FX Swap Far Leg - EUR/CHF, 19.10.18 (1046790);09.10.2018;09.10.2018;19.10.2018
152792807;09.10.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 8000000;CHF 9108656;CHF 9109832;EUR 8000000;FX Swap Near Leg - EUR/CHF, 08.10.18 (1044798);FX Swap Far Leg - EUR/CHF, 19.10.18 (1044799);08.10.2018;08.10.2018;19.10.2018
151199174;05.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;EUR 2286585.37;JPY 300000000;JPY 300000000;EUR 2286393.67;FX Swap Near Leg - JPY/EUR, 05.10.18 (1044553);FX Swap Far Leg - JPY/EUR, 19.10.18 (1044554);04.10.2018;05.10.2018;19.10.2018
151194926;04.10.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255A0001 Nostro Account USD;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255A0001 Nostro Account USD;USD 1500000;EUR 1297666.54;EUR 1299148.97;USD 1500000;FX Swap Near Leg - USD/EUR, 04.10.18 (1044486);FX Swap Far Leg - USD/EUR, 19.10.18 (1044487);03.10.2018;04.10.2018;19.10.2018
151189624;03.10.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023105840 CH45 0078 80000 50381232 Nostro Account USD;000023102001 CH95 0078 8001 A32436736 Nostro Account CHF;000023102001 CH95 0078 8001 A32436736 Nostro Account CHF;000023105840 CH45 0078 80000 50381232 Nostro Account USD;USD 2000000;CHF 1967000;CHF 1967360;USD 2000000;FX Swap Near Leg - USD/CHF, 02.10.18 (1044392);FX Swap Far Leg - USD/CHF, 04.10.18 (1044393);02.10.2018;02.10.2018;04.10.2018
